Date : 2022-04-14 16:04:54
Directory : d:\CodeArea\Other\NewsApp\news
Total : 692 files,  71463 codes, 14669 comments, 5960 blanks, all 92092 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-collapse\props.js                                         | JavaScript         |         16 |          3 |          1 |         20 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-collapse\u-collapse.vue                                   | Vue                |         65 |         22 |          4 |         91 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-column-notice\props.js                                    | JavaScript         |         44 |         11 |          1 |         56 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-column-notice\u-column-notice.vue                         | Vue                |        132 |         20 |          9 |        161 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-count-down\props.js                                       | JavaScript         |         20 |          4 |          1 |         25 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-count-down\u-count-down.vue                               | Vue                |        124 |         36 |          4 |        164 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-count-down\utils.js                                       | JavaScript         |         58 |          4 |          1 |         63 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-count-to\props.js                                         | JavaScript         |         48 |         11 |          1 |         60 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-count-to\u-count-to.vue                                   | Vue                |        153 |         28 |          4 |        185 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-datetime-picker\props.js                                  | JavaScript         |         92 |         24 |          1 |        117 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-datetime-picker\u-datetime-picker.vue                     | Vue                |        280 |         75 |          4 |        359 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-divider\props.js                                          | JavaScript         |         36 |          8 |          1 |         45 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-divider\u-divider.vue                                     | Vue                |         89 |         22 |          6 |        117 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-dropdown-item\props.js                                    | JavaScript         |         30 |          6 |          1 |         37 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-dropdown-item\u-dropdown-item.vue                         | Vue                |        117 |         24 |          6 |        147 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-dropdown\props.js                                         | JavaScript         |         54 |         11 |          1 |         66 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-dropdown\u-dropdown.vue                                   | Vue                |         98 |         21 |          9 |        128 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-empty\props.js                                            | JavaScript         |         48 |         11 |          1 |         60 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-empty\u-empty.vue                                         | Vue                |         98 |         25 |          6 |        129 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-form-item\props.js                                        | JavaScript         |         36 |          7 |          1 |         44 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-form-item\u-form-item.vue                                 | Vue                |        188 |         33 |         15 |        236 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-form\props.js                                             | JavaScript         |         36 |          9 |          1 |         46 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-form\u-form.vue                                           | Vue                |        159 |         51 |          5 |        215 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-gap\props.js                                              | JavaScript         |         20 |          4 |          1 |         25 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-gap\u-gap.vue                                             | Vue                |         24 |         12 |          3 |         39 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-grid-item\props.js                                        | JavaScript         |         12 |          2 |          1 |         15 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-grid-item\u-grid-item.vue                                 | Vue                |        151 |         50 |          9 |        210 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-grid\props.js                                             | JavaScript         |         16 |          3 |          1 |         20 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-grid\u-grid.vue                                           | Vue                |         76 |         19 |          3 |         98 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-icon\icons.js                                             | JavaScript         |        214 |          0 |          1 |        215 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-icon\props.js                                             | JavaScript         |         72 |         17 |          1 |         90 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-icon\u-icon.vue                                           | Vue                |        152 |         59 |         24 |        235 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-image\props.js                                            | JavaScript         |         68 |         16 |          1 |         85 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-image\u-image.vue                                         | Vue                |        160 |         64 |          9 |        233 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-index-anchor\props.js                                     | JavaScript         |         24 |          5 |          1 |         30 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-index-anchor\u-index-anchor.vue                           | Vue                |         68 |         19 |          5 |         92 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-index-item\props.js                                       | JavaScript         |          4 |          0 |          2 |          6 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-index-item\u-index-item.vue                               | Vue                |         64 |         19 |          5 |         88 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-index-list\props.js                                       | JavaScript         |         24 |          5 |          1 |         30 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-index-list\u-index-list.vue                               | Vue                |        343 |         86 |         12 |        441 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-input\props.js                                            | JavaScript         |        140 |         42 |          1 |        183 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-input\u-input.vue                                         | Vue                |        260 |         81 |         13 |        354 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-keyboard\props.js                                         | JavaScript         |         68 |         16 |          1 |         85 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-keyboard\u-keyboard.vue                                   | Vue                |        124 |         30 |         11 |        165 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-line-progress\props.js                                    | JavaScript         |         24 |          4 |          1 |         29 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-line-progress\u-line-progress.vue                         | Vue                |        116 |         21 |          8 |        145 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-line\props.js                                             | JavaScript         |         28 |          5 |          1 |         34 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-line\u-line.vue                                           | Vue                |         39 |         18 |          6 |         63 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-link\props.js                                             | JavaScript         |         32 |          7 |          1 |         40 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-link\u-link.vue                                           | Vue                |         51 |         28 |          5 |         84 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-list-item\props.js                                        | JavaScript         |          8 |          1 |          1 |         10 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-list-item\u-list-item.vue                                 | Vue                |         90 |         21 |          6 |        117 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-list\props.js                                             | JavaScript         |         60 |         15 |          2 |         77 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-list\u-list.vue                                           | Vue                |        115 |         40 |          5 |        160 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-loading-icon\props.js                                     | JavaScript         |         48 |         11 |          1 |         60 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-loading-icon\u-loading-icon.vue                           | Vue                |        268 |         57 |         19 |        344 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-loading-page\props.js                                     | JavaScript         |         36 |          8 |          1 |         45 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-loading-page\u-loading-page.vue                           | Vue                |         85 |         17 |          9 |        111 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-loadmore\props.js                                         | JavaScript         |         64 |         15 |          2 |         81 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-loadmore\u-loadmore.vue                                   | Vue                |        111 |         26 |          9 |        146 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-modal\props.js                                            | JavaScript         |         68 |         16 |          1 |         85 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-modal\u-modal.vue                                         | Vue                |        179 |         35 |         14 |        228 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-navbar\props.js                                           | JavaScript         |         68 |         16 |          1 |         85 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-navbar\u-navbar.vue                                       | Vue                |        146 |         27 |         14 |        187 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-no-network\props.js                                       | JavaScript         |         16 |          3 |          1 |         20 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-no-network\u-no-network.vue                               | Vue                |        196 |         14 |         10 |        220 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-notice-bar\props.js                                       | JavaScript         |         56 |         14 |          1 |         71 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-notice-bar\u-notice-bar.vue                               | Vue                |         72 |         26 |          4 |        102 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-notify\props.js                                           | JavaScript         |         36 |         13 |          1 |         50 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-notify\u-notify.vue                                       | Vue                |        158 |         42 |         12 |        212 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-number-box\props.js                                       | JavaScript         |         88 |         21 |          1 |        110 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-number-box\u-number-box.vue                               | Vue                |        317 |         86 |         14 |        417 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-number-keyboard\props.js                                  | JavaScript         |         16 |          3 |          1 |         20 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-number-keyboard\u-number-keyboard.vue                     | Vue                |        169 |         17 |         11 |        197 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-overlay\props.js                                          | JavaScript         |         20 |          4 |          1 |         25 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-overlay\u-overlay.vue                                     | Vue                |         53 |         12 |          4 |         69 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-parse\node\node.vue                                       | Vue                |        393 |         67 |         39 |        499 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-parse\parser.js                                           | JavaScript         |        728 |        160 |        188 |      1,076 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-parse\props.js                                            | JavaScript         |         43 |          2 |          1 |         46 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-parse\u-parse.vue                                         | Vue                |        247 |        107 |         13 |        367 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-picker-column\props.js                                    | JavaScript         |          4 |          0 |          2 |          6 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-picker-column\u-picker-column.vue                         | Vue                |         16 |          8 |          4 |         28 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-picker\props.js                                           | JavaScript         |         68 |         16 |          1 |         85 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-picker\u-picker.vue                                       | Vue                |        211 |         64 |         10 |        285 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-popup\props.js                                            | JavaScript         |         64 |         15 |          1 |         80 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-popup\u-popup.vue                                         | Vue                |        249 |         39 |         17 |        305 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-radio-group\props.js                                      | JavaScript         |         68 |         16 |          2 |         86 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-radio-group\u-radio-group.vue                             | Vue                |         67 |         34 |          8 |        109 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-radio\props.js                                            | JavaScript         |         52 |         12 |          1 |         65 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-radio\u-radio.vue                                         | Vue                |        255 |         66 |         17 |        338 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-rate\props.js                                             | JavaScript         |         52 |         12 |          1 |         65 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-rate\u-rate.vue                                           | Vue                |        226 |         67 |         11 |        304 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-read-more\props.js                                        | JavaScript         |         45 |         16 |          1 |         62 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-read-more\u-read-more.vue                                 | Vue                |        120 |         30 |          8 |        158 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-row-notice\props.js                                       | JavaScript         |         32 |          7 |          1 |         40 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-row-notice\u-row-notice.vue                               | Vue                |        221 |         72 |         14 |        307 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-row\props.js                                              | JavaScript         |         16 |          3 |          1 |         20 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-row\u-row.vue                                             | Vue                |         67 |         22 |          5 |         94 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-safe-bottom\props.js                                      | JavaScript         |          4 |          0 |          2 |          6 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-safe-bottom\u-safe-bottom.vue                             | Vue                |         36 |         18 |          3 |         57 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-scroll-list\nvue.js                                       | JavaScript         |         24 |          3 |          2 |         29 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-scroll-list\other.js                                      | JavaScript         |          0 |          0 |          1 |          1 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-scroll-list\props.js                                      | JavaScript         |         28 |          6 |          1 |         35 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-scroll-list\scrollWxs.wxs                                 | XML                |         46 |          0 |          5 |         51 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-scroll-list\u-scroll-list.vue                             | Vue                |        178 |         38 |         11 |        227 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-search\props.js                                           | JavaScript         |         96 |         22 |          1 |        119 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-search\u-search.vue                                       | Vue                |        230 |         60 |         14 |        304 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-skeleton\props.js                                         | JavaScript         |         48 |         11 |          1 |         60 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-skeleton\u-skeleton.vue                                   | Vue                |        180 |         47 |         18 |        245 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-slider\mpother.js                                         | JavaScript         |         90 |         23 |          1 |        114 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-slider\mpwxs.js                                           | JavaScript         |         38 |          4 |          1 |         43 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-slider\mpwxs.wxs                                          | XML                |        107 |          0 |         15 |        122 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-slider\nvue - 副本.js                                       | JavaScript         |        132 |         43 |          6 |        181 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-slider\nvue.js                                            | JavaScript         |        111 |         79 |          4 |        194 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-slider\props.js                                           | JavaScript         |         44 |         10 |          1 |         55 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-slider\u-slider.vue                                       | Vue                |         47 |          6 |          3 |         56 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-status-bar\props.js                                       | JavaScript         |          8 |          0 |          1 |          9 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-status-bar\u-status-bar.vue                               | Vue                |         32 |         12 |          3 |         47 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-steps-item\props.js                                       | JavaScript         |         20 |          4 |          1 |         25 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-steps-item\u-steps-item.vue                               | Vue                |        271 |         23 |         23 |        317 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-steps\props.js                                            | JavaScript         |         32 |          7 |          1 |         40 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-steps\u-steps.vue                                         | Vue                |         58 |         17 |          6 |         81 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-sticky\props.js                                           | JavaScript         |         29 |         11 |          1 |         41 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-sticky\u-sticky.vue                                       | Vue                |        153 |         53 |          7 |        213 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-subsection\props.js                                       | JavaScript         |         40 |          9 |          1 |         50 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-subsection\u-subsection.vue                               | Vue                |        235 |         48 |         17 |        300 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-swipe-action-item\index - backup.wxs                      | XML                |        239 |          0 |         18 |        257 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-swipe-action-item\index.wxs                               | XML                |        208 |          0 |         18 |        226 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-swipe-action-item\nvue - backup.js                        | JavaScript         |        204 |         60 |          7 |        271 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-swipe-action-item\nvue.js                                 | JavaScript         |        135 |         37 |          3 |        175 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-swipe-action-item\props.js                                | JavaScript         |         34 |          7 |          1 |         42 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-swipe-action-item\u-swipe-action-item.vue                 | Vue                |        146 |         37 |          8 |        191 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-swipe-action-item\wxs.js                                  | JavaScript         |         13 |          2 |          1 |         16 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-swipe-action\props.js                                     | JavaScript         |          8 |          1 |          1 |         10 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-swipe-action\u-swipe-action.vue                           | Vue                |         50 |         14 |          4 |         68 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-swiper-indicator\props.js                                 | JavaScript         |         24 |          5 |          1 |         30 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-swiper-indicator\u-swiper-indicator.vue                   | Vue                |         87 |         13 |         11 |        111 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-swiper\props.js                                           | JavaScript         |        100 |         25 |          1 |        126 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-swiper\u-swiper.vue                                       | Vue                |        193 |         43 |         11 |        247 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-switch\props.js                                           | JavaScript         |         44 |         10 |          1 |         55 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-switch\u-switch.vue                                       | Vue                |        135 |         32 |          7 |        174 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tabbar-item\props.js                                      | JavaScript         |         28 |          6 |          2 |         36 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tabbar-item\u-tabbar-item.vue                             | Vue                |        111 |         24 |          8 |        143 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tabbar\props.js                                           | JavaScript         |         36 |          8 |          1 |         45 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tabbar\u-tabbar.vue                                       | Vue                |        104 |         30 |          8 |        142 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-table\props.js                                            | JavaScript         |          4 |          0 |          2 |          6 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-table\u-table.vue                                         | Vue                |         18 |          6 |          6 |         30 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tabs-item\props.js                                        | JavaScript         |          4 |          0 |          2 |          6 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tabs-item\u-tabs-item.vue                                 | Vue                |         18 |          8 |          4 |         30 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tabs\props.js                                             | JavaScript         |         48 |         11 |          1 |         60 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tabs\u-tabs.vue                                           | Vue                |        283 |         55 |         15 |        353 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tag\props.js                                              | JavaScript         |         64 |         20 |          1 |         85 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tag\u-tag.vue                                             | Vue                |        281 |         33 |         45 |        359 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-td\props.js                                               | JavaScript         |          4 |          0 |          2 |          6 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-td\u-td.vue                                               | Vue                |         18 |          8 |          6 |         32 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-text\props.js                                             | JavaScript         |         88 |         22 |          1 |        111 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-text\u-text.vue                                           | Vue                |        169 |         40 |         15 |        224 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-text\value.js                                             | JavaScript         |         66 |         19 |          1 |         86 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-textarea\props.js                                         | JavaScript         |         92 |         22 |          1 |        115 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-textarea\u-textarea.vue                                   | Vue                |        172 |         57 |          9 |        238 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-toast\u-toast.vue                                         | Vue                |        233 |         42 |         17 |        292 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-toolbar\props.js                                          | JavaScript         |         28 |          6 |          1 |         35 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-toolbar\u-toolbar.vue                                     | Vue                |         81 |         15 |          7 |        103 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tooltip\clipboard.min.js                                  | JavaScript         |         50 |          6 |          3 |         59 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tooltip\props.js                                          | JavaScript         |         48 |         11 |          1 |         60 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tooltip\u-tooltip.vue                                     | Vue                |        290 |         61 |         15 |        366 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tr\props.js                                               | JavaScript         |          4 |          0 |          2 |          6 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-tr\u-tr.vue                                               | Vue                |         18 |          8 |          6 |         32 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-transition\nvue.ani-map.js                                | JavaScript         |         68 |          0 |          1 |         69 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-transition\props.js                                       | JavaScript         |         20 |          4 |          1 |         25 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-transition\transition.js                                  | JavaScript         |        105 |         46 |          5 |        156 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-transition\u-transition.vue                               | Vue                |         56 |         32 |          5 |         93 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-transition\vue.ani-style.scss                             | SCSS               |         82 |         14 |         18 |        114 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-upload\mixin.js                                           | JavaScript         |         15 |          6 |          1 |         22 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-upload\props.js                                           | JavaScript         |        100 |         24 |          1 |        125 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-upload\u-upload.vue                                       | Vue                |        470 |         54 |         22 |        546 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u-upload\utils.js                                           | JavaScript         |        123 |         24 |          5 |        152 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\uview-ui\uview-ui.vue                                       | Vue                |         11 |          0 |          5 |         16 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\index.js                                                               | JavaScript         |         47 |         22 |         11 |         80 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\index.scss                                                             | SCSS               |          6 |         13 |          4 |         23 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\color.js                                                   | JavaScript         |         14 |          2 |          2 |         18 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\config.js                                                  | JavaScript         |         27 |          5 |          3 |         35 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props.js                                                   | JavaScript         |        182 |          5 |          4 |        191 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\actionSheet.js                                       | JavaScript         |         15 |         10 |          1 |         26 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\album.js                                             | JavaScript         |         15 |         10 |          1 |         26 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\alert.js                                             | JavaScript         |         12 |         10 |          1 |         23 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\avatar.js                                            | JavaScript         |         18 |         10 |          1 |         29 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\avatarGroup.js                                       | JavaScript         |         13 |         10 |          1 |         24 |
