Date : 2022-04-14 16:04:54
Directory : d:\CodeArea\Other\NewsApp\news
Total : 692 files,  71463 codes, 14669 comments, 5960 blanks, all 92092 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| uni_modules\uview-ui\libs                                                                                                  |        135 |      5,545 |      2,285 |        760 |      8,590 |
| uni_modules\uview-ui\libs\config                                                                                           |         92 |      1,544 |        901 |        111 |      2,556 |
| uni_modules\uview-ui\libs\config\props                                                                                     |         88 |      1,311 |        880 |        100 |      2,291 |
| uni_modules\uview-ui\libs\css                                                                                              |          9 |        366 |         88 |        113 |        567 |
| uni_modules\uview-ui\libs\function                                                                                         |          7 |        868 |        444 |        123 |      1,435 |
| uni_modules\uview-ui\libs\luch-request                                                                                     |         15 |        701 |        321 |        120 |      1,142 |
| uni_modules\uview-ui\libs\luch-request\adapters                                                                            |          1 |         68 |         28 |          2 |         98 |
| uni_modules\uview-ui\libs\luch-request\core                                                                                |          7 |        236 |        145 |         45 |        426 |
| uni_modules\uview-ui\libs\luch-request\helpers                                                                             |          3 |         60 |         24 |         16 |        100 |
| uni_modules\uview-ui\libs\luch-request\utils                                                                               |          1 |        188 |         44 |         33 |        265 |
| uni_modules\uview-ui\libs\mixin                                                                                            |          7 |        413 |         90 |         10 |        513 |
| uni_modules\uview-ui\libs\util                                                                                             |          5 |      1,653 |        441 |        283 |      2,377 |
| uni_modules\z-paging                                                                                                       |         31 |      4,687 |        707 |        218 |      5,612 |
| uni_modules\z-paging\components                                                                                            |         27 |      4,553 |        704 |        202 |      5,459 |
| uni_modules\z-paging\components\z-paging                                                                                   |         24 |      4,215 |        657 |        181 |      5,053 |
| uni_modules\z-paging\components\z-paging-empty-view                                                                        |          1 |        133 |         19 |          8 |        160 |
| uni_modules\z-paging\components\z-paging-swiper                                                                            |          1 |        126 |         19 |          9 |        154 |
| uni_modules\z-paging\components\z-paging-swiper-item                                                                       |          1 |         79 |          9 |          4 |         92 |
| uni_modules\z-paging\components\z-paging\components                                                                        |          2 |        331 |         44 |         33 |        408 |
| uni_modules\z-paging\components\z-paging\config                                                                            |          1 |          1 |          1 |          1 |          3 |
| uni_modules\z-paging\components\z-paging\css                                                                               |          2 |        159 |         36 |         30 |        225 |
| uni_modules\z-paging\components\z-paging\js                                                                                |         16 |      3,145 |        431 |         88 |      3,664 |
| uni_modules\z-paging\components\z-paging\js\modules                                                                        |          8 |      2,210 |        324 |         29 |      2,563 |
| uni_modules\z-paging\components\z-paging\wxs                                                                               |          2 |        348 |          4 |         26 |        378 |
| uview-ui                                                                                                                   |        143 |     22,100 |      4,795 |      1,917 |     28,812 |
| uview-ui\components                                                                                                        |         96 |     18,610 |      4,065 |      1,157 |     23,832 |
| uview-ui\components\u-action-sheet                                                                                         |          1 |        141 |         42 |          8 |        191 |
| uview-ui\components\u-alert-tips                                                                                           |          1 |        199 |         37 |         21 |        257 |
| uview-ui\components\u-avatar                                                                                               |          1 |        193 |         42 |         10 |        245 |
| uview-ui\components\u-avatar-cropper                                                                                       |          2 |      1,159 |        226 |        172 |      1,557 |
| uview-ui\components\u-back-top                                                                                             |          1 |        131 |         17 |          6 |        154 |
| uview-ui\components\u-badge                                                                                                |          1 |        143 |         57 |         16 |        216 |
| uview-ui\components\u-button                                                                                               |          1 |        458 |         99 |         40 |        597 |
| uview-ui\components\u-calendar                                                                                             |          1 |        547 |         69 |         23 |        639 |
| uview-ui\components\u-car-keyboard                                                                                         |          1 |        234 |         10 |         14 |        258 |
| uview-ui\components\u-card                                                                                                 |          1 |        232 |         56 |         12 |        300 |
| uview-ui\components\u-cell-group                                                                                           |          1 |         52 |         13 |          6 |         71 |
| uview-ui\components\u-cell-item                                                                                            |          1 |        236 |         63 |         18 |        317 |
| uview-ui\components\u-checkbox                                                                                             |          1 |        216 |         56 |         13 |        285 |
| uview-ui\components\u-checkbox-group                                                                                       |          1 |         80 |         40 |          4 |        124 |
| uview-ui\components\u-circle-progress                                                                                      |          2 |        280 |         73 |         16 |        369 |
| uview-ui\components\u-circle-progress\u-line-progress                                                                      |          1 |        112 |         25 |         11 |        148 |
